===== JOURNAL DES EVENEMENTS =====
Debut capture : 2026-03-26 01:38:19.652866
Interface     : ens34
Filtre        : net 192.168.26.0/24

[ALERTE][SCAN SYN] 2026-03-26 01:38:20 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:21 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:22 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:23 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:25 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:34 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:35 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:36 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:37 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:38 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:39 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][UDP EXFIL] 2026-03-26 01:38:41 | Source: 192.168.26.134 -> Destination: 192.168.26.144 | Port: 9999 | Donnee: Heure de la cible : 01:38:41
[ALERTE][SCAN SYN] 2026-03-26 01:38:41 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][UDP EXFIL] 2026-03-26 01:38:46 | Source: 192.168.26.134 -> Destination: 192.168.26.144 | Port: 9999 | Donnee: Heure de la cible : 01:38:46
[ALERTE][SCAN SYN] 2026-03-26 01:38:49 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:38:50 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
